IG096-P1	  -20.253  -15.7022  -84.4256   46.1405   89.7864  -17.1998  0.671204   8.61223   -21.288  -102.168  -1.40148  -10.6927   -12.744   2.28317    2.1781   3.21659   6.36912   10.6112  -1.81232 -0.638193
IG097-P1	  -11.7102   -13.8542   -81.3548    44.6781    82.6453   -18.0532 -0.0963812    9.87246   -22.2116   -109.514   -1.12897   -10.6298   -13.8276    1.26555    3.19789   0.594548    4.99753    11.5315   -4.00802    -1.2037
IG098-P1	   10.422  -5.85486   10.5242  -10.8871  -75.7526 -0.737504  -2.81746   6.06388   -8.2391  -1.55274  -1.08981  -4.79114 -0.967237  0.909289   -0.6027  0.227251   3.25534 -0.226748 -0.813219   2.22349
IG099-P1	-0.409906  -5.68273   6.16168  -8.46085  -70.3364  -3.24119  -3.03869   3.41325  -8.59251 -0.423309 -0.664297  -1.86936  0.945091  0.170481 -0.974015  -1.82654   1.06583   1.09286   -0.9255   2.82547
IG100-P1	 -0.168967   -2.97029    3.19983   -4.45924   -28.4648  -0.351002  -0.585294    1.84854   -2.40915  -0.431336   0.580462  -0.197036   0.318204   0.331309  -0.148312   0.396323   0.327394     0.5007 -0.0231369    1.35687
IG102-P1	  0.0544284   0.0158294    0.030122  -0.0957111   -0.463164  -0.0058385  -0.0691856   0.0337408  -0.0841394  -0.0219376  -0.0379059 -0.00883745   0.0190479   0.0341248  -0.0225958 -0.00395959  0.00859615  -0.0506241  -0.0235253   0.0349699
IG103-P1	-35.6477 -63.2787 -50.1131  1.26407  63.0024  5.22726 -3.51211  14.4173 -8.21286 -73.7097 0.791306  -14.516 -11.6151  1.50269 0.153005 -7.27455 -6.93319  5.43463 -4.67346  13.5178
IG104-P1	 -29.3255   1.04434  -50.7166   18.2669   95.2525   4.08774 -0.148714   4.26646  -3.07017  -101.996  -6.75071  -21.3447  -21.5835  -15.9673 -0.872855   -2.8482   1.20721   5.69807   5.77187    1.0411
IG105-P1	 -1.44424 -0.663292  -3.84092    2.1977   12.8362 -0.194781 0.0548911   1.26878 -0.969734  -20.9119 -0.439957  -0.50799    -1.708 -0.421181 -0.396407 -0.389436 -0.597328 -0.659895  0.459455 -0.140471
IG106-P1	  -1.3766 -0.636401  -4.37107    2.2945   13.9247 -0.334338  0.230811   1.23066  -1.32325  -22.2037 -0.524504  -1.08311  -2.29957  -1.07816 -0.464921 -0.408593 -0.611915 -0.499641  0.594508 -0.184868
